,num_layers,layers,accuracy
33,6,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.375
0,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3630000054836273
1,5,"[{'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.46149998903274536
2,3,"[{'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3709999918937683
3,4,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.45500001311302185
4,3,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.41449999809265137
5,3,"[{'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4115000069141388
6,4,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3790000081062317
7,6,"[{'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4334999918937683
8,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4690000116825104
9,5,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3050000071525574
